"Date","Post ID","Network","Post Type","Content Type","Profile","Sent by","Link","Post","Linked Content","Impressions","Organic Impressions","Paid Impressions","Reach","Organic Reach","Paid Reach","Potential Reach","Engagement Rate (per Impression)","Engagements","Reactions","Likes","Dislikes","Love Reactions","Haha Reactions","Wow Reactions","Sad Reactions","Angry Reactions","Comments","Shares","Saves","Post Link Clicks","Other Post Clicks","Post Clicks (All)","Other Engagements","Negative Feedback","Subscribers Gained from Video","Annotation Clicks","Card Clicks","Video Views","Organic Video Views","Paid Video Views","Partial Video Views","Organic Partial Video Views","Paid Partial Video Views","Full Video Views","Organic Full Video Views","Paid Full Video Views","Full Video View Rate","Follow Video Views","For You Video Views","Hashtag Video Views","Business Account Video Views","Sound Video Views","Unspecified Video Views","Estimated Minutes Watched","Story Taps Back","Story Taps Forward","Story Exits","Story Replies","Video Added to Playlists","Subscribers Lost from Video","Video Removed from Playlists","Average Video Time Watched (Seconds)","Tags"
"10/23/2022 7:53 pm","17964240880975958","Instagram","Reel","Video","discovering_data","Loris Marini","https://www.instagram.com/reel/CkDNs9FJ4gx/","THERE IS NOTHING WRONG WITH THE MDS #discoveringdata E046 with Chad Sanderson 🎧 Listen https://bit.ly/3eeykaZ #datawarehouse #datastrategy #podcast",,"119","119","","122","122","","","0%","0","0","0","","","","","","","0","0","0","","","","","","","","","119","119","","","","","","","","","","","","","","","","","","","","","","","",""
"8/3/2022 3:53 pm","7127523871997086982","TikTok","Post","Video","discoveringdata"," ","https://www.tiktok.com/@discoveringdata/video/7127523871997086982?utm_campaign=tt4d_open_api&utm_source=7036369194396418050","The type of lineage you need in a catalog → https://bit.ly/3vd8bi5 | E038 #discoveringdata | Ole O. Bagneux 📚 #business #podcast",,"","","","108","","","","","3","3","3","","","","","","","0","0","","","","","","","","","","119","","","","","","","","","0.02","0","119","0","0","0","0","","","","","","","","","41","episode 038, personal"
"9/18/2022 6:57 pm","7144641232445246725","TikTok","Post","Video","discoveringdata"," ","https://www.tiktok.com/@discoveringdata/video/7144641232445246725?utm_campaign=tt4d_open_api&utm_source=7036369194396418050","Tech debt in data means $$$ #discoveringdata E042 with Salma Bakouk #dataobservability #dataquality #business #data #podcast",,"","","","113","","","","","0","0","0","","","","","","","0","0","","","","","","","","","","118","","","","","","","","","0.03","0","118","0","0","0","0","","","","","","","","","12.62","E042-E043 Salma Bakouk"
"8/16/2022 1:36 pm","YNjlKjrP0QM","YouTube","Post","Video","Data Foundations","Loris Marini","https://www.youtube.com/watch?v=YNjlKjrP0QM","CONTEXT and INTENT before DATA #discoveringdata E039 with Bill Schmarzo 👨‍🎓 The Dean of Big Data #business #data #podcast",,"","","","","","","","","0","0","0","0","","","","","","0","0","","","0","","","","0","0","0","118","","","","","","","","","","","","","","","","94","","","","","0","0","0","","episode-39"
"8/1/2022 3:41 pm","7126778604750523654","TikTok","Post","Video","discoveringdata"," ","https://www.tiktok.com/@discoveringdata/video/7126778604750523654?utm_campaign=tt4d_open_api&utm_source=7036369194396418050","Nuons for CAPABILITIES verbs for PROCESSES) → https://bit.ly/3vd8bi5 | E038 #discoveringdata | Ole O. Bagneux 📚 #business #podcast",,"","","","107","","","","","1","1","1","","","","","","","0","0","","","","","","","","","","118","","","","","","","","","0.0085","0","118","0","0","0","0","","","","","","","","","4.35","episode 038, personal"
"10/6/2022 9:57 pm","18186302212212794","Instagram","Reel","Video","discovering_data","Loris Marini","https://www.instagram.com/reel/CjXqSX8MlzV/","WHAT'S a DATA PRODUCT?

This is E044 ""Data products in a knowledge-first world"" with @TimGasper @juansequeda hosts of @HonestNoBSData.

Full episode👇

bit.ly/3M63ZHQ",,"117","117","","114","114","","","0%","0","0","0","","","","","","","0","0","0","","","","","","","","","117","117","","","","","","","","","","","","","","","","","","","","","","","","E044"
"9/13/2022 5:51 pm","18321494701057075","Instagram","Reel","Video","discovering_data","Loris Marini","https://www.instagram.com/reel/CicGtufJVJw/","Why I started Sifflet #discoveringdata E042 with Salma Bakouk #dataobservability #dataquality #business #data #podcast",,"117","117","","117","117","","","0.85%","1","0","0","","","","","","","1","0","0","","","","","","","","","117","117","","","","","","","","","","","","","","","","","","","","","","","","E042-E043 Salma Bakouk, episode-042"
"9/5/2022 6:51 pm","6972476406328946689","LinkedIn","Post","Video","Discovering Data","Loris Marini","https://linkedin.com/feed/update/urn:li:ugcPost:6972476406328946689","Open source tools to CLASSIFY and CLEAN your data #discoveringdata E040 with Jessica Talisman 🎧 Keep learning 👉 https://bit.ly/3KgXW2t #taxonomy #ontology #business #data #podcast",,"293","293","","","","","","4.78%","14","5","5","","","","","","","1","1","","7","","7","","","","","","116","116","","","","","","","","","","","","","","","","","","","","","","","","E040 Jessica Talisman, episode-40"
"8/16/2022 3:45 pm","18305565220071214","Instagram","Reel","Video","discovering_data","Loris Marini","https://www.instagram.com/reel/ChTyI-3MT8r/","IMPACT starts by talking to PEOPLE #discoveringdata E039 with Bill Schmarzo 👨‍🎓 The Dean of Big Data #business #data #podcast",,"116","116","","120","120","","","0.86%","1","0","0","","","","","","","1","0","0","","","","","","","","","116","116","","","","","","","","","","","","","","","","","","","","","","","","episode-39"
"10/6/2022 7:13 pm","17937570449424690","Instagram","Reel","Video","discovering_data","Loris Marini","https://www.instagram.com/reel/CjXXoLFsret/","EVERY PIECE OF DATA THAT GETS USED IS A PRODUCT

This is E044 ""Data products in a knowledge-first world"" with @TimGasper @juansequeda hosts of @HonestNoBSData

Full episode👇
bit.ly/3M63ZHQ",,"115","115","","115","115","","","0%","0","0","0","","","","","","","0","0","0","","","","","","","","","115","115","","","","","","","","","","","","","","","","","","","","","","","","E044"
